_id,comment,topic,polarity,confidence,related_text,review_id
680af061c5dc7192fa07e070,好好好，没有那个啸声，不错，很喜欢，已经推荐给同事,Noise Reduction,好评,0.9,没有那个啸声,f8a4a154-d3c5-4af8-8616-4e2eabe0e90c
680af062c5dc7192fa07e071,用了一段时间了，音质不错，续航也还可以。不错的，推荐。,音质,好评,0.9,音质不错,8befa306-18ce-4e69-bf4c-a4da3afc0ff0
680af062c5dc7192fa07e071,用了一段时间了，音质不错，续航也还可以。不错的，推荐。,续航,好评,0.8,续航也还可以,8befa306-18ce-4e69-bf4c-a4da3afc0ff0
680af062c5dc7192fa07e072,真的好喜欢，客服态度也挺好的，值！以后有需要还会来买,Sound Quality,好评,0.9,客服态度也挺好的,8407120d-ba29-4deb-ae87-6e04b5a0f1a3
680af062c5dc7192fa07e072,真的好喜欢，客服态度也挺好的，值！以后有需要还会来买,Customer Service,好评,0.8,客服态度也挺好的,8407120d-ba29-4deb-ae87-6e04b5a0f1a3
680af064c5dc7192fa07e073,每天3-4节课，续航很长，重量也比之前买的轻好多，人声明亮但不过分刺耳，开到最大也没破音，总体来说体验比之前的好了太多,续航能力,好评,0.9,续航很长,bd752252-841b-452d-b146-1e807ca147f2
680af064c5dc7192fa07e073,每天3-4节课，续航很长，重量也比之前买的轻好多，人声明亮但不过分刺耳，开到最大也没破音，总体来说体验比之前的好了太多,轻巧设计,好评,0.8,重量比之前买的轻好多,bd752252-841b-452d-b146-1e807ca147f2
680af064c5dc7192fa07e073,每天3-4节课，续航很长，重量也比之前买的轻好多，人声明亮但不过分刺耳，开到最大也没破音，总体来说体验比之前的好了太多,音质表现,好评,0.85,人声明亮但不过分刺耳，开到最大也没破音,bd752252-841b-452d-b146-1e807ca147f2
680af065c5dc7192fa07e074,外观漂亮，音质很好,外观,好评,0.9,外观漂亮,42059c4a-eeef-44bb-bf3e-b8318516850b
680af065c5dc7192fa07e074,外观漂亮，音质很好,音质,好评,0.8,音质很好,42059c4a-eeef-44bb-bf3e-b8318516850b
680af066c5dc7192fa07e075,特意使用了一段时间才来评价。无愧于飞利浦大品牌，这款扩音器太给力了！音质好，无一点杂音，上课教学使用，声音清晰明亮！而且安装容易，操作简单，外观漂亮！棒,音质,好评,0.9,音质好，无一点杂音,03845581-9706-4013-ae2a-4e63b593d7bc
680af066c5dc7192fa07e075,特意使用了一段时间才来评价。无愧于飞利浦大品牌，这款扩音器太给力了！音质好，无一点杂音，上课教学使用，声音清晰明亮！而且安装容易，操作简单，外观漂亮！棒,安装操作,好评,0.8,安装容易，操作简单,03845581-9706-4013-ae2a-4e63b593d7bc
680af066c5dc7192fa07e075,特意使用了一段时间才来评价。无愧于飞利浦大品牌，这款扩音器太给力了！音质好，无一点杂音，上课教学使用，声音清晰明亮！而且安装容易，操作简单，外观漂亮！棒,外观设计,好评,0.7,外观漂亮,03845581-9706-4013-ae2a-4e63b593d7bc
680af067c5dc7192fa07e076,小朋友学校里老师基本都使用的这款，小朋友说也要一个和老师一模一样的。外观好看且轻便，也送了背带，使用方便，非常不错。,外观设计,好评,0.9,外观好看且轻便，也送了背带,b2eb710f-5407-4e60-bd80-c379fa3eea08
680af067c5dc7192fa07e076,小朋友学校里老师基本都使用的这款，小朋友说也要一个和老师一模一样的。外观好看且轻便，也送了背带，使用方便，非常不错。,使用便捷,好评,0.85,使用方便,b2eb710f-5407-4e60-bd80-c379fa3eea08
680af067c5dc7192fa07e077,小巧玲珑颜值好高，试用了一下效果很不错，好评,外观设计,好评,0.9,小巧玲珑颜值好高,606a4d95-d434-4736-8389-7da7cc339c45
680af067c5dc7192fa07e077,小巧玲珑颜值好高，试用了一下效果很不错，好评,音质效果,好评,0.8,试用了一下效果很不错,606a4d95-d434-4736-8389-7da7cc339c45
680af068c5dc7192fa07e078,已经使用了一段时间，颜值高，音质好，很不错，推荐,外观设计,好评,0.9,颜值高,10303d17-5bb4-41f3-94cc-1bf409b9b46f
680af068c5dc7192fa07e078,已经使用了一段时间，颜值高，音质好，很不错，推荐,音质表现,好评,0.8,音质好,10303d17-5bb4-41f3-94cc-1bf409b9b46f
680af068c5dc7192fa07e079,收到货了，买的这款刚刚试了还不错，希望好用，时间长些,Sound Quality,好评,0.95,买的这款刚刚试了还不错,9fad607f-c51e-4f41-872b-607ae54cccb0
680af068c5dc7192fa07e079,收到货了，买的这款刚刚试了还不错，希望好用，时间长些,Battery Life,中评,0.7,希望好用，时间长些,9fad607f-c51e-4f41-872b-607ae54cccb0
